variable	value	Var1	Tissue
Br)L5-6_NP	130.003421142662	MTG_L5-6_NP	MTG
Br)L6_CT	197.092084006462	M1_L6_CT	M1
Br)L6_CT	265.580736543909	MTG_L6_CT	MTG
Br)L6_IT	340.814630091438	M1_L6_IT	M1
Br)L6_IT	319.951090279193	MTG_L6_IT	MTG
Br)L6_IT_Car3	225.165562913907	MTG_L6_IT_Car3	MTG
Br)L6b	168.313208927918	M1_L6b	M1
Br)L6b	288.55975485189	MTG_L6b	MTG
Br)Lamp5	161.35881104034	M1_Lamp5	M1
Br)Lamp5	91.8133129303749	MTG_Lamp5	MTG
Br)Lamp5_Lhx6	154.525386313466	MTG_Lamp5_Lhx6	MTG
My)Macrophage	172.75615567911	BLR_Macrophage	BLR
My)Macrophage	256.926952141058	FAT_Macrophage	FAT
My)Macrophage	146.341463414634	LIV_Macrophage	LIV
My)Macrophage	110.534626663659	LN_Macrophage	LN
My)Macrophage	124.655981868221	LNG_Macrophage	LNG
My)Macrophage	206.532180595581	MM_Macrophage	MM
My)Macrophage	212.569316081331	SG_Macrophage	SG
My)Macrophage	158.765652951699	SPL_Macrophage	SPL
My)Macrophage	225.5029201817	VAS_Macrophage	VAS
T)MAIT	90.9408884225254	LIV_MAIT	LIV
T)MAIT	63.1578947368421	SPL_MAIT	SPL
My)MastCell	79.7679477882524	JEJLP_MastCell	JEJLP
B)MemoryBcell	175.324675324675	LLN_MemoryBcell	LLN
B)MemoryBcell	155.835543766578	LN_MemoryBcell	LN
B)MemoryBcell	168.591945051514	MLN_MemoryBcell	MLN
B)MemoryBcell	182.97331639136	SG_MemoryBcell	SG
B)MemoryBcell	186.842105263158	SPL_MemoryBcell	SPL
B)MemoryBcell	143.350146004778	THY_MemoryBcell	THY
Br)Microglia-PVM	112.172829248027	MTG_Microglia-PVM	MTG
others)MNP_T_doublet	108.200455580866	LNG_MNP_T_doublet	LNG
My)Monocyte	68.7213660974594	BLD_Monocyte	BLD
My)Monocyte	183.117463153193	BMA_Monocyte	BMA
others)MSC	183.940573045631	FAT_MSC	FAT
My)Myeloid	88.3002207505519	BLD_Myeloid	BLD
My)Myeloid	176.595243701436	BLR_Myeloid	BLR
My)Myeloid	103.765194189149	BMA_Myeloid	BMA
My)Myeloid	210.109018830525	FAT_Myeloid	FAT
My)Myeloid	120.697362539115	JEJLP_Myeloid	JEJLP
My)Myeloid	110.887096774194	LIV_Myeloid	LIV
My)Myeloid	129.643480428821	LN_Myeloid	LN
My)Myeloid	124.493341053851	LNG_Myeloid	LNG
My)Myeloid	130.07614213198	MM_Myeloid	MM
My)Myeloid	75.2890561979027	PNC_Myeloid	PNC
My)Myeloid	181.975736568458	SG_Myeloid	SG
My)Myeloid	128.561501042391	SKN_Myeloid	SKN
My)Myeloid	118.465104300798	SPL_Myeloid	SPL
My)Myeloid	146.920912785245	TRA_Myeloid	TRA
My)Myeloid	200.924251557163	VAS_Myeloid	VAS
B)NaiveBcell	128.116343490305	BLD_NaiveBcell	BLD
B)NaiveBcell	174.611973392461	LLN_NaiveBcell	LLN
B)NaiveBcell	128.102481985588	LN_NaiveBcell	LN
B)NaiveBcell	181.995450113747	MLN_NaiveBcell	MLN
B)NaiveBcell	147.150907952411	SG_NaiveBcell	SG
B)NaiveBcell	196.629213483146	SPL_NaiveBcell	SPL
My)Neutrophil	100.151745068285	BLD_Neutrophil	BLD
My)Neutrophil	157.501334757074	BMA_Neutrophil	BMA
My)Neutrophil	108.196721311475	SPL_Neutrophil	SPL
T)NK	129.82576016399	BLD_NK	BLD
T)NK	130.482058716926	SPL_NK	SPL
T)NK_CD16+	54.7195622435021	BLD_NK_CD16+	BLD
T)NK_CD16+	113.253749617386	BMA_NK_CD16+	BMA
T)NK_CD16+	87.9478827361564	LIV_NK_CD16+	LIV
T)NK_CD16+	84.1514726507714	LNG_NK_CD16+	LNG
T)NK_CD16+	94.1676792223572	SPL_NK_CD16+	SPL
T)NK_CD56bright_CD16-	110.294117647059	LIV_NK_CD56bright_CD16-	LIV
T)NK_CD56bright_CD16-	123.029603998462	SPL_NK_CD56bright_CD16-	SPL
T)NKT	150.715900527506	LN_NKT	LN
T)NKT	129.707112970711	SPL_NKT	SPL
Br)Non-neuronal	57.8871201157742	M1_Non-neuronal	M1
Br)Non-neuronal_Non-neural	139.86013986014	MTG_Non-neuronal_Non-neural	MTG
Br)Oligodendrocyte	77.5569558894813	M1_Oligodendrocyte	M1
Br)Oligodendrocyte	93.9769329346433	MTG_Oligodendrocyte	MTG
Br)OPC	94.9796472184532	MTG_OPC	MTG
B)PlasmaCell	95.6799072194839	BLR_PlasmaCell	BLR
B)PlasmaCell	37.5375375375375	JEJLP_PlasmaCell	JEJLP
B)PlasmaCell	107.635385132862	LN_PlasmaCell	LN
B)PlasmaCell	115.708274894811	SPL_PlasmaCell	SPL
B)PlasmaCell	83.7676842889054	THY_PlasmaCell	THY
others)Progenitor	83.7988826815643	BMA_Progenitor	BMA
Br)Pvalb	153.886972671796	M1_Pvalb	M1
Br)Pvalb	139.680729760547	MTG_Pvalb	MTG
Br)Sncg	51.8134715025907	MTG_Sncg	MTG
Br)Sst	136.088709677419	M1_Sst	M1
Br)Sst	117.685518143184	MTG_Sst	MTG
T)T_CD4	40.0123114804555	BLD_T_CD4	BLD
T)T_CD4	76.7085076708508	BMA_T_CD4	BMA
T)T_CD4	158.404224112643	LARITN_T_CD4	LARITN
T)T_CD4	131.373162339693	LN_T_CD4	LN
