group,UMAP1,UMAP2,Tissue,CellType,NodeCount,MajorCT,DetailedCT,MajorOG
LLN_Tfh,LLN_Tfh,-0.196166480825252,2.98118654771207,LLN,T)Tfh,2832,T),Tfh,LN)
LLN_Tmemory_CD4,LLN_Tmemory_CD4,0.237386374436244,2.41995004719026,LLN,T)Tmemory_CD4,1964,T),Tmemory_CD4,LN)
LLN_Tmemory_CD8,LLN_Tmemory_CD8,2.14033091791583,2.10857252927176,LLN,T)Tmemory_CD8,2206,T),Tmemory_CD8,LN)
LLN_Tnaive_cm_CD4,LLN_Tnaive_cm_CD4,-0.433645404642536,3.11223471498661,LLN,T)Tnaive_cm_CD4,3350,T),Tnaive_cm_CD4,LN)
LLN_Tnaive_cm_CD8,LLN_Tnaive_cm_CD8,-0.15363708330667,2.58849050224373,LLN,T)Tnaive_cm_CD8,2227,T),Tnaive_cm_CD8,LN)
LLN_Treg,LLN_Treg,-0.332822940600917,3.79998026582201,LLN,T)Treg,2752,T),Treg,LN)
LN_Macrophage,LN_Macrophage,-0.779444947472047,-4.87879020690372,LN,My)Macrophage,4433,My),Macrophage,LN)
LN_MemoryBcell,LN_MemoryBcell,-3.33367001770735,-0.319859745150608,LN,B)MemoryBcell,3016,B),MemoryBcell,LN)
LN_NaiveBcell,LN_NaiveBcell,-3.67357208867034,-0.042858122669135,LN,B)NaiveBcell,2498,B),NaiveBcell,LN)
LN_NKT,LN_NKT,-2.79011632230227,2.25322364417744,LN,T)NKT,2654,T),NKT,LN)
LN_PlasmaCell,LN_PlasmaCell,-1.87848666952533,-1.0236279815595,LN,B)PlasmaCell,5946,B),PlasmaCell,LN)
LN_T_CD4,LN_T_CD4,-2.96731717815208,1.57849900552205,LN,T)T_CD4,3197,T),T_CD4,LN)
LN_T_CD8,LN_T_CD8,-2.42462270350353,2.35939906244857,LN,T)T_CD8,2591,T),T_CD8,LN)
LN_Tmemory_CD4,LN_Tmemory_CD4,-1.84520244396473,1.39626953015348,LN,T)Tmemory_CD4,2509,T),Tmemory_CD4,LN)
LN_Tnaive_CD4,LN_Tnaive_CD4,-2.10989176984879,1.44268258258261,LN,T)Tnaive_CD4,2359,T),Tnaive_CD4,LN)
LNG_AlveolarMacrophage,LNG_AlveolarMacrophage,0.717950564558447,-1.29372714234906,LNG,My)AlveolarMacrophage,1205,My),AlveolarMacrophage,others)
LNG_ClassicalMonocyte,LNG_ClassicalMonocyte,0.853833750644445,-4.92364429357912,LNG,My)ClassicalMonocyte,2668,My),ClassicalMonocyte,others)
LNG_IntermediateMacrophage,LNG_IntermediateMacrophage,0.630467055255368,-3.77678163405242,LNG,My)IntermediateMacrophage,2446,My),IntermediateMacrophage,others)
LNG_Macrophage,LNG_Macrophage,-0.430298240567032,-4.66604463996312,LNG,My)Macrophage,6177,My),Macrophage,others)
LNG_MNP_T_doublet,LNG_MNP_T_doublet,0.331440719406338,-0.912746977395937,LNG,others)MNP_T_doublet,1756,others),MNP_T_doublet,others)
LNG_NK_CD16.,LNG_NK_CD16.,3.07382491958801,3.5686034430596,LNG,T)NK_CD16+,2852,T),NK_CD16+,others)
LNG_Tmemory_CD8,LNG_Tmemory_CD8,2.04062394523358,2.50457922685968,LNG,T)Tmemory_CD8,2132,T),Tmemory_CD8,others)
LNG_Trm_Th1_Th17,LNG_Trm_Th1_Th17,1.6381333784848,1.78516687128969,LNG,T)Trm_Th1_Th17,2340,T),Trm_Th1_Th17,others)
MLN_MemoryBcell,MLN_MemoryBcell,-4.78335389853866,-0.643148889073358,MLN,B)MemoryBcell,3203,B),MemoryBcell,LN)
MLN_NaiveBcell,MLN_NaiveBcell,-4.87505007907523,-0.85576345581301,MLN,B)NaiveBcell,3077,B),NaiveBcell,LN)
MLN_Tfh,MLN_Tfh,-0.195829299544484,3.90343406194283,MLN,T)Tfh,3168,T),Tfh,LN)
MLN_Tmemory_CD8,MLN_Tmemory_CD8,2.8354896148703,2.16576724495386,MLN,T)Tmemory_CD8,2653,T),Tmemory_CD8,LN)
MLN_Tnaive_cm_CD4,MLN_Tnaive_cm_CD4,-0.688219234328204,3.36746406905649,MLN,T)Tnaive_cm_CD4,3239,T),Tnaive_cm_CD4,LN)
MLN_Tnaive_cm_CD8,MLN_Tnaive_cm_CD8,-0.663694989511001,2.99207540859328,MLN,T)Tnaive_cm_CD8,2222,T),Tnaive_cm_CD8,LN)
MLN_Treg,MLN_Treg,-0.648624335618694,4.06642773095223,MLN,T)Treg,3310,T),Treg,LN)
MM_Macrophage,MM_Macrophage,-0.714314256437587,-3.92705918155476,MM,My)Macrophage,4164,My),Macrophage,others)
SG_Macrophage,SG_Macrophage,-1.29530834870481,-3.75245460321713,SG,My)Macrophage,4328,My),Macrophage,others)
SG_MemoryBcell,SG_MemoryBcell,-3.15147018690376,-0.0921167407647128,SG,B)MemoryBcell,3935,B),MemoryBcell,others)
SG_NaiveBcell,SG_NaiveBcell,-3.39802057717398,0.16137370504921,SG,B)NaiveBcell,3194,B),NaiveBcell,others)
SG_T_CD4,SG_T_CD4,-2.4878667458902,1.15581472552078,SG,T)T_CD4,2908,T),T_CD4,others)
SG_T_CD8,SG_T_CD8,-2.1346806466582,0.999895872769659,SG,T)T_CD8,2687,T),T_CD8,others)
SMITN_T_CD4,SMITN_T_CD4,-2.51669123214194,3.81967837611553,SMITN,T)T_CD4,3465,T),T_CD4,ITN)
SMITN_T_CD8,SMITN_T_CD8,-2.6139088214562,3.66667842185285,SMITN,T)T_CD8,3081,T),T_CD8,ITN)
SPL_ClassicalMonocyte,SPL_ClassicalMonocyte,0.15955477756668,-5.4593574529953,SPL,My)ClassicalMonocyte,3708,My),ClassicalMonocyte,others)
SPL_ErythrophagocyticMacrophage,SPL_ErythrophagocyticMacrophage,-0.408945218908258,-4.86545927496037,SPL,My)ErythrophagocyticMacrophage,3061,My),ErythrophagocyticMacrophage,others)
SPL_Macrophage,SPL_Macrophage,-0.748185308456859,-5.40684853199921,SPL,My)Macrophage,4472,My),Macrophage,others)
SPL_MAIT,SPL_MAIT,2.63830629878182,1.38219091411283,SPL,T)MAIT,1900,T),MAIT,others)
SPL_MemoryBcell,SPL_MemoryBcell,-4.03601380395125,-0.647333238629048,SPL,B)MemoryBcell,3800,B),MemoryBcell,others)
SPL_NaiveBcell,SPL_NaiveBcell,-4.33404377770186,-0.723508550590236,SPL,B)NaiveBcell,3916,B),NaiveBcell,others)
SPL_Neutrophil,SPL_Neutrophil,0.914086206988596,-5.69779027875318,SPL,My)Neutrophil,3050,My),Neutrophil,others)
SPL_NK,SPL_NK,2.07392181260751,4.00473791943251,SPL,T)NK,2759,T),NK,others)
SPL_NK_CD16.,SPL_NK_CD16.,3.46316467836721,4.12678189021242,SPL,T)NK_CD16+,3292,T),NK_CD16+,others)
SPL_NK_CD56bright_CD16.,SPL_NK_CD56bright_CD16.,3.57114984444948,2.95497218568578,SPL,T)NK_CD56bright_CD16-,2601,T),NK_CD56bright_CD16-,others)
SPL_NKT,SPL_NKT,1.39863184603218,3.27410184875228,SPL,T)NKT,2390,T),NKT,others)
SPL_PlasmaCell,SPL_PlasmaCell,-1.9094384732335,-0.877793015443899,SPL,B)PlasmaCell,5704,B),PlasmaCell,others)
